Sample	Size	Max Value	Total sum	M	Exact?	Algorithm	epsilon	Value	Value / M	t	t stdv
61	1000	4000	2007991	500353	U	G	-	499748.0	0.9987908536573179	0.0001837813	5.630432851339623e-05
62	1000	4000	2007991	500353	U	S	0.5	500306.0	0.99990606631718	60.241596064700005	12.82513744494179
63	1000	4000	2007991	500353	U	S	1	500171.0	0.9996362568026973	34.472952707699996	7.383469636109295
64	1000	4000	2007991	500353	U	S	2	500111.0	0.9995163414629272	19.2815039766	4.383232333462822
65	1000	4000	2007991	1000706	E	G	-	999787.0	0.9990816483562605	0.0002169679	6.60754763239232e-05
66	1000	4000	2007991	1000706	E	S	0.5	1000675.0	0.9999690218705594	64.9711262931	13.482550951376792
67	1000	4000	2007991	1000706	E	S	1	1000703.0	0.9999970021165058	35.802579631099995	7.5829416690498554
68	1000	4000	2007991	1000706	E	S	2	999074.0	0.9983691513791263	20.0337026123	4.286886991287609
69	1000	4000	2007991	2001412	U	G	-	1999998.0	0.9992934987898544	0.0002516125	6.1035063697025825e-05
70	1000	4000	2007991	2001412	U	S	0.5	2001147.0	0.9998675934790038	65.63948811959999	13.700099087616742
71	1000	4000	2007991	2001412	U	S	1	2000225.0	0.9994069187153869	36.983711667099996	8.094230053415814
72	1000	4000	2007991	2001412	U	S	2	1999273.0	0.9989312545342988	20.3871423344	4.367089498552017
73	10000	40000	198923507	50096139	U	G	-	50080841.0	0.9996946271647801	0.0019866986	0.0006307174802389207
74	10000	40000	198923507	50096139	U	S	0.5	50095569.0	0.9999886218776262	9874.8483883896	1202.316400332832
75	10000	40000	198923507	50096139	U	S	1	50094675.0	0.9999707761909555	5242.332370878899	715.2933499114389
76	10000	40000	198923507	50096139	U	S	2	50095614.0	0.9999895201504452	2804.5811724056002	431.1245553285702
77	10000	40000	198923507	100192279	E	G	-	100180027.0	0.9998777151281287	0.0025270197999999995	0.0008343869753738437
78	10000	40000	198923507	100192279	E	S	0.5	100192072.0	0.999997933972537	10086.131317011801	1137.451378187291
79	10000	40000	198923507	100192279	E	S	1	100191787.0	0.9999950894419719	5464.001396949599	686.0077329288636
80	10000	40000	198923507	100192279	E	S	2	100186097.0	0.9999382986387604	3004.2872885279003	357.86369244596835
81	10000	40000	198923507	200384558	U	G	-	198923507.0	0.9927087645146788	0.002763622	0.0008202327694697403
82	10000	40000	198923507	200384558	U	S	0.5	198918255.0	0.9926825549102442	10667.708601965502	1530.1822686828252
