	Instance	intance size	# samples	M	Mean random value/M	std random value/M	Mean li value/M	std li value/M	Mean (li/random)	std (li/random)	Index of maximum mean	Index of maximum std
0	1	10	500	61	0.9164590163934426	0.05456071148521167	0.9581639344262296	0.028381450640092218	1.0483094390189853	0.054059630495625885	15.5	13.938356351370048
1	1	10	500	122	0.9548196721311475	0.025461547471927658	0.9802622950819673	0.010160659237104165	1.027276432878938	0.0258346938740617	14.0	16.020819787597222
2	1	10	500	244	0.848360655737705	1.111334915764742e-16	0.848360655737705	1.111334915764742e-16	1.0	0.0	0.0	0.0
3	2	10	500	41	0.8891219512195123	0.07915733284496675	0.9719512195121952	0.03080024663209963	1.1021418557828424	0.10884369557373255	11.3	18.595399670049822
4	2	10	500	83	0.9432289156626504	0.04845921948615184	0.9834698795180723	0.015861033559950496	1.045507911597022	0.058320769283065774	9.0	12.578641509408806
5	2	10	500	166	0.9623614457831324	0.020702319075731647	0.9901807228915666	0.008496065188472235	1.0293234268583291	0.021000165259524143	7.6	13.133502536981096
6	3	100	500	4431	0.998985330625141	0.0010125646808945691	0.999875423155044	0.00011234183805019318	1.0008920273169641	0.0010250546178573643	11.8	9.863513009515874
7	3	100	500	8863	0.9992280266275528	0.0007885640899942979	0.9999165068261311	4.9540058364355134e-05	1.0006896421053297	0.0008013818577272105	10.9	13.851995443898247
8	3	100	500	17726	0.998199932302832	0.0016710545729698477	0.9999670540449058	2.7834092953625867e-05	1.0017731122897267	0.001678474175138795	9.4	7.026932316294059
9	4	100	500	5587	0.9986153570789333	0.0009991998012094877	0.9999119384284948	8.9571627538094e-05	1.0012993957991483	0.001021910217641639	6.8	11.830281296552318
10	4	100	500	11174	0.999449436191158	0.0004607123314869873	0.9999412922856632	4.255564754430437e-05	1.000492342471014	0.00047017117602377143	18.7	16.63363393181952
11	4	100	500	22348	0.9587435117236444	2.222669831529484e-16	0.9587435117236444	2.222669831529484e-16	1.0	0.0	0.0	0.0
12	5	1000	500	495796	0.9999871277702926	9.60237672917409e-06	0.999998874537108	1.002674441724888e-06	1.0000117470110552	9.7586813827254e-06	1.2	1.1352924243950933
13	5	1000	500	991593	0.9999914702907341	6.680359544828616e-06	0.9999994413030346	5.017918332434193e-07	1.0000079711249201	6.7126734765692375e-06	1.2	1.7511900715418263
14	5	1000	500	1983186	0.9887196662340295	0.0	0.9887196662340295	0.0	1.0	0.0	0.0	0.0
15	6	1000	500	519144	0.9999921794338372	6.68618821580489e-06	0.9999989135962278	9.561580526453418e-07	1.0000067342611936	6.976325478562988e-06	2.8	3.7653389990514503
16	6	1000	500	1038289	0.9999934565424464	5.43009543663715e-06	0.9999994587248829	4.783234682320391e-07	1.0000060022514035	5.499490209585345e-06	0.8	1.4757295747452437
17	6	1000	500	2076578	0.9877225897606543	0.0	0.9877225897606543	0.0	1.0	0.0	0.0	0.0
18	7	10000	500	49947220	0.9999998881619437	7.704422918098398e-08	0.9999999897892214	1.0018588442065833e-08	1.000000101627295	7.85507956467179e-08	1.7	1.7669811040931427
19	7	10000	500	99894440	0.9999999211167309	6.269848937389172e-08	0.9999999943540402	4.969082523450186e-09	1.0000000732373189	6.26011757168123e-08	1.0	1.247219128924647
20	7	10000	500	199788880	0.9999950161990998	5.026524440741125e-06	0.9999999973772314	2.50226062308984e-09	1.0000049812281737	5.026751366045283e-06	1.4	1.349897115421106
